type,sfpname,partnumber,serialnumber,state,switch,interface
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339555     ,inserted,102,eth1/18
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339550     ,inserted,102,eth1/17
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954M     ,inserted,102,eth1/16
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955S     ,inserted,102,eth1/15
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DKMY     ,inserted,102,eth1/12
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLM     ,inserted,102,eth1/11
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DKMG     ,inserted,102,eth1/10
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DKMH     ,inserted,102,eth1/9
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLL     ,inserted,102,eth1/14
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRM0     ,inserted,102,eth1/13
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DLTX     ,inserted,102,eth1/46
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DDHE     ,inserted,102,eth1/8
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DKMW     ,inserted,102,eth1/7
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLY     ,inserted,102,eth1/4
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U0TP     ,inserted,102,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2123U1YN     ,inserted,102,eth1/50
,,,,removed,102,eth1/51
,,,,removed,102,eth1/52
,,,,removed,102,eth1/53
,,,,removed,102,eth1/54
,,,,removed,102,eth1/21
,,,,removed,102,eth1/22
,,,,removed,102,eth1/23
,,,,removed,102,eth1/24
,,,,removed,102,eth1/25
,,,,removed,102,eth1/26
,,,,removed,102,eth1/27
,,,,removed,102,eth1/28
,,,,removed,102,eth1/29
,,,,removed,102,eth1/30
,,,,removed,102,eth1/31
,,,,removed,102,eth1/32
,,,,removed,102,eth1/33
,,,,removed,102,eth1/34
,,,,removed,102,eth1/35
,,,,removed,102,eth1/36
,,,,removed,102,eth1/37
,,,,removed,102,eth1/38
,,,,removed,102,eth1/39
,,,,removed,102,eth1/40
,,,,removed,102,eth1/41
,,,,removed,102,eth1/42
,,,,unknown,103,eth1/29
,,,,unknown,103,eth1/26
,,,,unknown,103,eth1/10
,,,,unknown,103,eth1/34
,,,,unknown,103,eth1/11
,,,,unknown,103,eth1/20
,,,,unknown,103,eth1/19
,,,,unknown,103,eth1/42
,,,,unknown,103,eth1/36
,,,,unknown,103,eth1/46
,,,,unknown,103,eth1/44
,,,,unknown,103,eth1/9
,,,,unknown,103,eth1/22
,,,,unknown,103,eth1/45
,,,,unknown,103,eth1/38
,,,,unknown,103,eth1/40
,,,,unknown,103,eth1/43
,,,,unknown,103,eth1/6
,,,,unknown,103,eth1/25
,,,,unknown,103,eth1/1
,,,,unknown,103,eth1/4
,,,,unknown,103,eth1/13
,,,,unknown,103,eth1/33
,,,,unknown,103,eth1/35
,,,,unknown,103,eth1/32
,,,,unknown,103,eth1/31
,,,,unknown,103,eth1/8
,,,,unknown,103,eth1/24
,,,,unknown,103,eth1/47
,,,,unknown,103,eth1/48
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM1925U3G1     ,inserted,103,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U0TD     ,inserted,103,eth1/50
,,,,removed,103,eth1/51
,,,,removed,103,eth1/52
,,,,removed,103,eth1/53
,,,,removed,103,eth1/54
,,,,unknown,103,eth1/21
,,,,unknown,103,eth1/39
,,,,unknown,103,eth1/41
,,,,unknown,103,eth1/28
,,,,unknown,103,eth1/27
,,,,unknown,103,eth1/23
,,,,unknown,103,eth1/37
,,,,unknown,103,eth1/5
,,,,unknown,103,eth1/2
,,,,unknown,103,eth1/3
,,,,unknown,103,eth1/7
,,,,unknown,103,eth1/18
,,,,unknown,103,eth1/17
,,,,unknown,103,eth1/16
,,,,unknown,103,eth1/15
,,,,unknown,103,eth1/14
,,,,unknown,103,eth1/12
,,,,unknown,103,eth1/30
,,,,unknown,104,eth1/20
,,,,unknown,104,eth1/21
,,,,unknown,104,eth1/22
,,,,unknown,104,eth1/23
,,,,unknown,104,eth1/25
,,,,unknown,104,eth1/26
,,,,unknown,104,eth1/27
,,,,unknown,104,eth1/39
,,,,unknown,104,eth1/43
,,,,unknown,104,eth1/42
,,,,unknown,104,eth1/11
,,,,unknown,104,eth1/40
,,,,unknown,104,eth1/41
,,,,unknown,104,eth1/45
,,,,unknown,104,eth1/34
,,,,unknown,104,eth1/4
,,,,unknown,104,eth1/5
,,,,unknown,104,eth1/7
,,,,unknown,104,eth1/15
,,,,unknown,104,eth1/9
,,,,unknown,104,eth1/36
,,,,unknown,104,eth1/35
,,,,unknown,104,eth1/44
,,,,unknown,104,eth1/18
,,,,unknown,104,eth1/19
,,,,unknown,104,eth1/29
,,,,unknown,104,eth1/37
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2121U0V0     ,inserted,104,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM1925U3FZ     ,inserted,104,eth1/50
,,,,removed,104,eth1/51
,,,,removed,104,eth1/52
,,,,removed,104,eth1/53
,,,,removed,104,eth1/54
,,,,unknown,104,eth1/1
,,,,unknown,104,eth1/2
,,,,unknown,104,eth1/32
,,,,unknown,104,eth1/14
,,,,unknown,104,eth1/12
,,,,unknown,104,eth1/38
,,,,unknown,104,eth1/3
,,,,unknown,104,eth1/6
,,,,unknown,104,eth1/10
,,,,unknown,104,eth1/8
,,,,unknown,104,eth1/31
,,,,unknown,104,eth1/30
,,,,unknown,104,eth1/46
,,,,unknown,104,eth1/47
,,,,unknown,104,eth1/48
,,,,unknown,104,eth1/28
,,,,unknown,104,eth1/24
,,,,unknown,104,eth1/13
,,,,unknown,104,eth1/33
,,,,unknown,104,eth1/16
,,,,unknown,104,eth1/17
10Gbase-LR,CISCO-ACCELINK  ,RTXM228-401-C98 ,ACW22410GMV     ,inserted,109,eth1/5
,,,,removed,109,eth1/7
,,,,removed,109,eth1/8
,,,,removed,109,eth1/9
,,,,removed,109,eth1/10
,,,,removed,109,eth1/43
,,,,removed,109,eth1/44
,,,,removed,109,eth1/45
,,,,removed,109,eth1/46
,,,,removed,109,eth1/47
,,,,removed,109,eth1/48
