creation_date,creation_time,events_code,description,severity,cause,affected
2020-12-27,14:24:13.753,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:24:15.225,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:24:18.339,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:24:19.466,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:24:30.223,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:24:34.213,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:24:35.312,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:24:45.115,E4204936," %ACLLOG-5-ACLLOG_PKTLOG_DENY: CName: DA:DA(VXLAN: 2490368), VlanType: BD_VLAN, Vlan-Id: 256, SMac: 0x9457a5549894, DMac:0x34800d9d0687, SIP: 10.192.97.248, DIP: 10.192.97.228, SPort: 59840, DPort: 2049, Src Intf: Tunnel106, Proto: 6, PktLen: 1514 ",info,transition,topology/pod-1/node-225/sys
2020-12-27,14:24:54.462,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:24:54.463,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:24:54.466,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:25:07.015,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:25:24.225,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:25:24.229,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:25:31.951,E4204936, %ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/31 is down (Link failure),info,transition,topology/pod-1/node-103/sys
2020-12-27,14:25:31.963,E4205126,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:25:31.966,E4215671,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:25:32.042,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:25:32.166,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:25:57.243,E4194678,[FSM:STAGE:RESET]: (FSM-STAGE:ifc:vmmmgr:CompCtrlrAdd:begin),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:25:57.243,E4194678,[FSM:BEGIN]: Add-FSM for VM Controller: DXB-vcenter VM Domain: DC1-RND-ACI VM Provider: VMware Error: Cannot complete login due to an incorrect user name or password.(FSM:ifc:vmmmgr:CompCtrlrAdd),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:25:57.273,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:00.355,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:12.268,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:15.472,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:26:15.475,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:26:15.481,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:26:16.348,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:21.435,E4215060,ActiveUserSession mRdtL8eVRJWOwUElcUX9GQ== deleted,info,transition,uni/usersessext/actsession-mRdtL8eVRJWOwUElcUX9GQ==
2020-12-27,14:26:21.435,E4215060,ActiveUserSession e6JelfD9TGOFK7W0RMqZfw== deleted,info,transition,uni/usersessext/actsession-e6JelfD9TGOFK7W0RMqZfw==
2020-12-27,14:26:27.262,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:27.306,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:30.361,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:31.382,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:26:53.530,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:26:57.996,E4215058,ActiveUserSession PlnYtCKJSDeasb6AZuhjUA== created,info,transition,uni/usersessext/actsession-PlnYtCKJSDeasb6AZuhjUA==
2020-12-27,14:27:04.255,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:27:36.485,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:27:36.490,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:27:47.051,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:27:51.282,E4194678,[FSM:STAGE:RESET]: (FSM-STAGE:ifc:vmmmgr:CompCtrlrAdd:begin),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:27:51.283,E4194678,[FSM:BEGIN]: Add-FSM for VM Controller: DXB-vcenter VM Domain: DC1-RND-ACI VM Provider: VMware Error: Cannot complete login due to an incorrect user name or password.(FSM:ifc:vmmmgr:CompCtrlrAdd),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:27:51.310,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:27:51.831,E4215058,ActiveUserSession bktbtW+eQnCGF9b5EORiMg== created,info,transition,uni/usersessext/actsession-bktbtW+eQnCGF9b5EORiMg==
2020-12-27,14:27:54.262,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:27:54.267,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:27:56.382,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:28:06.299,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:28:11.372,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:28:21.300,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:28:24.388,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:28:40.060,E4204936," %ETHPORT-5-SPEED: Interface Ethernet1/31, operational speed changed to 100 Mbps",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:40.065,E4204936," %ETHPORT-5-IF_DUPLEX: Interface Ethernet1/31, operational duplex mode changed to Full",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:40.068,E4204936," %ETHPORT-5-IF_RX_FLOW_CONTROL: Interface Ethernet1/31, operational Receive Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:40.071,E4204936," %ETHPORT-5-IF_TX_FLOW_CONTROL: Interface Ethernet1/31, operational Transmit Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:40.095,E4204936, %ETHPORT-5-IF_UP: Interface Ethernet1/31 is up in mode trunk,info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:40.105,E4205125,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:40.108,E4215670,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:40.150,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:41.308,E4204936, %ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/31 is down (Link failure),info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:41.322,E4205126,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:41.324,E4215671,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:41.384,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:41.527,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:45.609,E4204936," %ETHPORT-5-SPEED: Interface Ethernet1/31, operational speed changed to 100 Mbps",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:45.615,E4204936," %ETHPORT-5-IF_DUPLEX: Interface Ethernet1/31, operational duplex mode changed to Full",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:45.618,E4204936," %ETHPORT-5-IF_RX_FLOW_CONTROL: Interface Ethernet1/31, operational Receive Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:45.621,E4204936," %ETHPORT-5-IF_TX_FLOW_CONTROL: Interface Ethernet1/31, operational Transmit Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:45.649,E4205125,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:45.651,E4215670,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:45.654,E4204936, %ETHPORT-5-IF_UP: Interface Ethernet1/31 is up in mode trunk,info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:45.687,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:47.145,E4204936, %ETHPORT-5-IF_DOWN_LINK_FAILURE: Interface Ethernet1/31 is down (Link failure),info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:47.157,E4205126,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:47.159,E4215671,Port is down. Reason: notconnect,info,port-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:47.224,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:47.376,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:52.893,E4204936," %ETHPORT-5-SPEED: Interface Ethernet1/31, operational speed changed to 100 Mbps",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:52.898,E4204936," %ETHPORT-5-IF_DUPLEX: Interface Ethernet1/31, operational duplex mode changed to Full",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:52.902,E4204936," %ETHPORT-5-IF_RX_FLOW_CONTROL: Interface Ethernet1/31, operational Receive Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:52.904,E4204936," %ETHPORT-5-IF_TX_FLOW_CONTROL: Interface Ethernet1/31, operational Transmit Flow Control state changed to off",info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:52.924,E4204936, %ETHPORT-5-IF_UP: Interface Ethernet1/31 is up in mode trunk,info,transition,topology/pod-1/node-103/sys
2020-12-27,14:28:52.933,E4205125,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:52.935,E4215670,Port is up,info,port-up,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:52.967,E4210003,Transceiver has been removed,info,transceiver-removed,topology/pod-1/node-103/sys/phys-[eth1/31]/phys/fcot
2020-12-27,14:28:57.502,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:28:57.508,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:28:57.511,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:29:27.327,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:29:32.397,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:29:33.832,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
