creation_date,creation_time,fault_code,description,severity,cause,affected
2020-12-27,13:15:24.963,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:11:34.445,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 31 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:11:18.924,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:10:34.437,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:10:15.929,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:08:06.248,F606434,[FSM:FAILED]: Update Adrelay on LLDP discovery(TASK:ifc:policyelem:LldpIfLldpDiscovery),cleared,fsm-failed,topology/pod-1/node-201/sys/lldp/inst/if-[eth1/2]
2020-12-27,13:08:06.018,F606434,[FSM:FAILED]: Update Adrelay on LLDP discovery(TASK:ifc:policyelem:LldpIfLldpDiscovery),major,fsm-failed,topology/pod-1/node-201/sys/lldp/inst/if-[eth1/2]
2020-12-27,13:08:05.950,F606434,[FSM:FAILED]: Update Adrelay on LLDP discovery(TASK:ifc:policyelem:LldpIfLldpDiscovery),cleared,fsm-failed,topology/pod-1/node-202/sys/lldp/inst/if-[eth1/2]
2020-12-27,13:08:05.689,F606434,[FSM:FAILED]: Update Adrelay on LLDP discovery(TASK:ifc:policyelem:LldpIfLldpDiscovery),major,fsm-failed,topology/pod-1/node-202/sys/lldp/inst/if-[eth1/2]
2020-12-27,13:06:28.429,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 41 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:06:09.887,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 18 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:06:09.882,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:05:25.393,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:02:32.139,F96760,TCA: Egress Buffer Drop Packets rate(eqptEgrDropPkts5min:bufferRate) value 9 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-107/sys/phys-[eth1/11]
2020-12-27,13:01:49.850,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 7 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,13:01:49.843,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 10 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,13:01:29.049,F96760,TCA: Egress Buffer Drop Packets rate(eqptEgrDropPkts5min:bufferRate) value 11 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-107/sys/phys-[eth1/11]
2020-12-27,13:01:22.358,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 40 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:01:03.839,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:01:03.835,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,13:00:19.349,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:56:10.323,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 41 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:56:10.318,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:55:57.792,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:55:57.787,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:51:46.747,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 7 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:51:24.660,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 8 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-121/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:51:07.280,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 41 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:51:07.275,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:50:51.743,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:50:51.739,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,12:50:43.732,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 23 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:50:21.650,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 16 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-121/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,12:46:04.236,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 42 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
