name,desc,lastModTime,DN,UID
MWM,,2021-01-04T16:46:09.144+00:00,uni/tn-MWM,15374
cl_za2000,Tenant Created Using Ansible,2021-01-04T16:38:56.322+00:00,uni/tn-cl_za2000,15374
gggg,,2021-01-04T16:13:19.504+00:00,uni/tn-gggg,15374
TN-SN,,2021-01-04T15:03:26.740+00:00,uni/tn-TN-SN,15374
A-mm-terraform_tenant,This tenant is created by terraform - MM,2021-01-04T14:03:55.298+00:00,uni/tn-A-mm-terraform_tenant,15374
11_HMS,This tenant is created by terraform,2021-01-04T13:26:38.639+00:00,uni/tn-11_HMS,15374
Pironet,,2021-01-04T10:00:37.784+00:00,uni/tn-Pironet,15374
BRUCE,description,2021-01-04T09:57:14.664+00:00,uni/tn-BRUCE,15374
BRUCE_test,,2021-01-04T09:41:14.365+00:00,uni/tn-BRUCE_test,15374
Tenant1_maha,,2021-01-04T08:24:19.561+00:00,uni/tn-Tenant1_maha,15374
web-tentant,,2021-01-04T07:50:58.213+00:00,uni/tn-web-tentant,15374
rcp12,,2021-01-04T07:27:40.926+00:00,uni/tn-rcp12,15374
rcp10,,2021-01-04T06:45:45.917+00:00,uni/tn-rcp10,15374
Village,,2021-01-03T21:42:58.160+00:00,uni/tn-Village,15374
UNIONC,,2021-01-03T21:41:35.988+00:00,uni/tn-UNIONC,15374
gb_cm1,Tenant Created Using Ansible,2021-01-03T21:15:50.935+00:00,uni/tn-gb_cm1,15374
rcp7,,2021-01-03T19:48:28.015+00:00,uni/tn-rcp7,15374
CHANGEME,Tenant Created Using Ansible,2021-01-03T19:47:42.924+00:00,uni/tn-CHANGEME,15374
rcp5,,2021-01-03T19:31:11.128+00:00,uni/tn-rcp5,15374
rcp6,,2021-01-03T19:31:09.150+00:00,uni/tn-rcp6,15374
rcp4,,2021-01-03T18:38:43.693+00:00,uni/tn-rcp4,15374
cl_2000,Tenant Created Using Ansible,2021-01-03T12:43:43.970+00:00,uni/tn-cl_2000,15374
GL_Example_Tenant,,2021-01-02T15:49:46.327+00:00,uni/tn-GL_Example_Tenant,15374
Karabacak,,2021-01-02T12:38:48.020+00:00,uni/tn-Karabacak,15374
TN_CX,,2021-01-02T12:12:22.007+00:00,uni/tn-TN_CX,15374
BMH-TENTANT,,2021-01-02T11:13:21.805+00:00,uni/tn-BMH-TENTANT,15374
Aarav-Ten,,2021-01-02T06:47:14.269+00:00,uni/tn-Aarav-Ten,15374
VM-LAB,VM LAB Env,2021-01-02T01:44:37.778+00:00,uni/tn-VM-LAB,15374
ten-bf01,,2021-01-01T23:28:37.736+00:00,uni/tn-ten-bf01,15374
Development,,2021-01-01T22:37:02.730+00:00,uni/tn-Development,15374
CUST2,,2021-01-01T21:16:18.608+00:00,uni/tn-CUST2,15374
cust1,,2021-01-01T21:06:04.165+00:00,uni/tn-cust1,15374
Universal,,2021-01-01T20:48:14.223+00:00,uni/tn-Universal,15374
Shore-Test-1,,2021-01-01T20:25:36.838+00:00,uni/tn-Shore-Test-1,15374
ali,,2021-01-01T19:43:38.197+00:00,uni/tn-ali,15374
Customer_03,,2021-01-01T15:50:51.327+00:00,uni/tn-Customer_03,15374
Customer_02,,2021-01-01T15:50:50.068+00:00,uni/tn-Customer_02,15374
Customer_01,,2021-01-01T15:50:48.789+00:00,uni/tn-Customer_01,15374
SnV,,2021-01-01T08:21:35.186+00:00,uni/tn-SnV,15374
Heroes,,2021-01-01T08:21:34.793+00:00,uni/tn-Heroes,15374
infra,,2021-01-01T08:18:35.454+00:00,uni/tn-infra,0
mgmt,,2021-01-01T08:18:35.850+00:00,uni/tn-mgmt,0
common,,2021-01-01T08:18:30.663+00:00,uni/tn-common,0
