last_transition_time,last_transition_date,fault_code,description,severity,DN,creation_date,creation_time
16:02:28.558+00:00,2020-09-05,F0971,Failed to form relation to MO qoscustom-default of class qosCustomPol in context ,cleared,uni/tn-tara-sdn/ap-Citrix-Farm-AP/epg-Citrix-Farm-10.1.1.0_24-EPG/rscustQosPol/fault-F0971,2020-09-05,16:02:28.554+00:00
08:39:03.282+00:00,2020-09-05,F110473,TCA: ingress drop bytes rate(l2IngrBytesAg15min:dropRate) value 375839 raised above threshold 100000,warning,uni/tn-SnV/BD-antigravity/fault-F110473,2020-09-05,08:39:03.282+00:00
08:39:03.285+00:00,2020-09-05,F112425,TCA: ingress drop packets rate(l2IngrPktsAg15min:dropRate) value 325 raised above threshold 100,warning,uni/tn-SnV/BD-antigravity/fault-F112425,2020-09-05,08:39:03.285+00:00
08:39:03.276+00:00,2020-09-05,F110473,TCA: ingress drop bytes rate(l2IngrBytesAg15min:dropRate) value 375839 raised above threshold 100000,warning,uni/tn-SnV/ctx-Superverse/fault-F110473,2020-09-05,08:39:03.276+00:00
08:39:03.279+00:00,2020-09-05,F112425,TCA: ingress drop packets rate(l2IngrPktsAg15min:dropRate) value 325 raised above threshold 100,warning,uni/tn-SnV/ctx-Superverse/fault-F112425,2020-09-05,08:39:03.279+00:00
16:16:28.739+00:00,2020-09-05,F0979,Failed to form relation to MO monepg-default of class monEPGPol in context ,cleared,uni/tn-DEMO-TN/rsTenantMonPol/fault-F0979,2020-09-05,16:16:28.736+00:00
16:16:31.780+00:00,2020-09-05,F2975,Failed to form relation to MO vrfvalidationpol-default of class l3extVrfValidationPol in context ,cleared,uni/tn-DEMO-TN/ctx-DEMO-VRF/rsvrfValidationPol/fault-F2975,2020-09-05,16:16:31.776+00:00
16:16:31.784+00:00,2020-09-05,F0964,Failed to form relation to MO ospfCtxP-default of class ospfCtxPol in context ,cleared,uni/tn-DEMO-TN/ctx-DEMO-VRF/rsospfCtxPol/fault-F0964,2020-09-05,16:16:31.783+00:00
16:16:31.789+00:00,2020-09-05,F1678,Failed to form relation to MO rttag-default of class l3extRouteTagPol in context ,cleared,uni/tn-DEMO-TN/ctx-DEMO-VRF/rsctxToExtRouteTagPol/fault-F1678,2020-09-05,16:16:31.787+00:00
16:16:31.793+00:00,2020-09-05,F0963,Failed to form relation to MO epRPol-default of class fvEpRetPol in context ,cleared,uni/tn-DEMO-TN/ctx-DEMO-VRF/rsctxToEpRet/fault-F0963,2020-09-05,16:16:31.791+00:00
16:16:31.796+00:00,2020-09-05,F0960,Failed to form relation to MO bgpCtxP-default of class bgpCtxPol in context ,cleared,uni/tn-DEMO-TN/ctx-DEMO-VRF/rsbgpCtxPol/fault-F0960,2020-09-05,16:16:31.794+00:00
16:16:34.798+00:00,2020-09-05,F0971,Failed to form relation to MO qoscustom-default of class qosCustomPol in context ,cleared,uni/tn-DEMO-TN/ap-DEMO-AP/epg-North-EPG/rscustQosPol/fault-F0971,2020-09-05,16:16:34.796+00:00
